permalink,name,homepage_url,category_list,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
/organization/1000memories,1000memories,http://1000memories.com,|Curated Web|,Curated Web, 2 535 000 ,acquired,USA,CA,SF Bay Area,San Francisco,2,01/07/2010,2010-07,2010-Q3,2010,01/01/2010,16/02/2011
/organization/1000museums-com,1000museums.com,http://www.1000museums.com,|Curated Web|,Curated Web, 4 962 651 ,operating,USA,WA,Seattle,Bellevue,5,01/01/2008,2008-01,2008-Q1,2008,14/10/2009,19/09/2014
/organization/1001-menus,1001 Menus,http://1001menus.com,|Local Businesses|Restaurants|, Restaurants , 4 059 079 ,operating,FRA,,Paris,Paris,4,20/11/2010,2010-11,2010-Q4,2010,15/12/2012,13/11/2013
/organization/1006-tv,1006.tv,http://www.1006.tv/,|Media|Games|, Media , 10 000 000 ,operating,CHN,,Beijing,Beijing,3,01/01/2009,2009-01,2009-Q1,2009,01/01/2011,31/07/2014
/organization/100du-tv,100du.tv,http://www.100du.com,|Hospitality|,Hospitality, 3 000 000 ,operating,,,,,2,,,,,07/01/2008,13/08/2010
/organization/100e-com,100e.com,http://www.100e.com,|Education|,Education, 3 000 000 ,operating,CHN,,Beijing,Beijing,1,,,,,01/01/2006,01/01/2006
/organization/100plus,100Plus,http://www.100plus.com,|Analytics|,Analytics, 1 250 000 ,acquired,USA,CA,SF Bay Area,San Francisco,2,16/09/2011,2011-09,2011-Q3,2011,02/11/2011,30/11/2011
/organization/1010data,1010data,http://www.1010data.com,|Software|, Software , 35 000 000 ,operating,USA,NY,New York City,New York,1,01/01/2000,2000-01,2000-Q1,2000,08/03/2010,08/03/2010
/organization/10bestthings,10BestThings,http://10bestthings.com,|Curated Web|,Curated Web, 50 000 ,closed,USA,OH,Cleveland,Cleveland,1,01/04/2009,2009-04,2009-Q2,2009,01/04/2009,01/04/2009
/organization/10sec,10sec,http://10s.ec/,|Social Commerce|E-Commerce|Mobile Commerce|, Mobile Commerce , 1 600 000 ,,,,,,1,08/07/2013,2013-07,2013-Q3,2013,08/05/2014,08/05/2014
/organization/10seconds-software,10seconds Software,http://www.10secondsSoftware.com,|Mobility|Enterprise Software|Software|,Mobility, 100 000 ,operating,AUS,,Sydney,Sydney,1,01/07/2009,2009-07,2009-Q3,2009,01/07/2010,01/07/2010
/organization/10six,10Six,http://10sixenergy.com,,, -   ,operating,USA,NY,New York City,New York,1,,,,,01/02/2014,01/02/2014
/organization/10x-technologies,10X Technologies,http://10xtechnologies.com,|Biotechnology|,Biotechnology, 3 000 000 ,operating,USA,CA,SF Bay Area,Oakland,1,01/01/2012,2012-01,2012-Q1,2012,07/11/2012,07/11/2012
/organization/10x10-room,10X10 Room,http://10x10room.com,|Software|, Software , 77 500 ,operating,USA,MA,Boston,Lexington,1,01/01/2010,2010-01,2010-Q1,2010,12/10/2011,12/10/2011
/organization/115-network-disks,115 network disks,http://www.115.com/,|Education|,Education, -   ,operating,,,,,1,,,,,01/11/2011,01/11/2011
/organization/117go,117go,http://117go.com,|Social Travel|,Social Travel, 20 000 000 ,operating,CHN,,Shanghai,Shanghai,1,01/10/2011,2011-10,2011-Q4,2011,28/04/2014,28/04/2014
/organization/11i-solutions,11i Solutions,http://www.11isolutions.com,|Enterprise Software|,Enterprise Software, 1 800 000 ,closed,USA,AL,Huntsville,Huntsville,1,,,,,22/03/2011,22/03/2011
/organization/12-star-survival,12 Star Survival,http://www.12starsurvival.com,|Sports|, Sports , -   ,operating,,,,,1,17/07/2013,2013-07,2013-Q3,2013,17/10/2013,17/10/2013
/organization/120-sports,120 Sports,http://www.120sports.com,|Sports|, Sports , -   ,operating,USA,IL,Chicago,Chicago,1,01/01/2013,2013-01,2013-Q1,2013,20/02/2014,20/02/2014
/organization/121-rentals,121 Rentals,,|Real Estate|,Real Estate, -   ,operating,USA,TX,TX - Other,Amarillo,1,12/04/2011,2011-04,2011-Q2,2011,03/09/2014,03/09/2014
/organization/121cast,121cast,http://www.121cast.com,|Audio|Music|Mobile|, Mobile , 270 000 ,operating,AUS,,Melbourne,Melbourne,2,01/02/2012,2012-02,2012-Q1,2012,01/05/2012,13/11/2012
/organization/121nexus,121nexus,http://www.121nexus.com,|Politics|Technology|Medical Devices|Pharmaceuticals|Personalization|Software|,Pharmaceuticals, 794 000 ,operating,USA,RI,Providence,Providence,6,07/10/2011,2011-10,2011-Q4,2011,06/02/2012,01/01/2014
/organization/1234enter,1234ENTER,http://www.1234enter.com.br,|Small and Medium Businesses|Education|Analytics|Internet Marketing|Business Services|Advertising|E-Commerce|,Advertising, 650 267 ,operating,ITA,,BRA - Other,Bra,2,01/01/2012,2012-01,2012-Q1,2012,01/09/2012,22/11/2013
/organization/123contactform,123ContactForm,http://www.123contactform.com,|SaaS|E-Commerce|,SaaS, -   ,operating,ROM,,Timisoara,Timisoara,1,01/01/2008,2008-01,2008-Q1,2008,01/01/2010,01/01/2010
/organization/123people,123people,http://123people.com,|Software|Search|,Search, -   ,acquired,AUT,,Vienna,Vienna,1,01/01/2007,2007-01,2007-Q1,2007,01/01/2008,01/01/2008
/organization/1248,1248,http://1248.io/index.php?page=index,|Software|, Software , 378 812 ,operating,GBR,,London,Cambridge,1,01/01/2013,2013-01,2013-Q1,2013,18/03/2014,18/03/2014
/organization/12bis,12Bis,http://12bis.com,,, 130 636 ,operating,FRA,,Paris,Paris,1,01/01/2008,2008-01,2008-Q1,2008,15/03/2012,15/03/2012
/organization/12return,12Return,http://www.12return.com,,, 619 494 ,operating,NLD,,NLD - Other,Gorinchem,1,10/12/2010,2010-12,2010-Q4,2010,01/06/2012,01/06/2012
/organization/12society,12Society,http://www.12Society.com,|E-Commerce|, E-Commerce , -   ,acquired,USA,CA,Los Angeles,West Hollywood,1,01/01/2012,2012-01,2012-Q1,2012,05/04/2012,05/04/2012
/organization/1366-technologies,1366 Technologies,http://www.1366tech.com,|Manufacturing|,Manufacturing, 66 450 000 ,operating,USA,MA,Boston,Bedford,8,01/01/2007,2007-01,2007-Q1,2007,27/03/2008,12/12/2013
/organization/139shop,139shop,http://www.139shop.com,|E-Commerce|, E-Commerce , -   ,operating,CHN,,CHN - Other,,1,,,,,01/02/2007,01/02/2007
/organization/13th-lab,13th Lab,http://13thlab.com,|iPad|Games|Augmented Reality|Computer Vision|Mobile|, Mobile , 700 000 ,,SWE,,Stockholm,Stockholm,1,01/01/2010,2010-01,2010-Q1,2010,15/06/2012,15/06/2012
/organization/140-proof,140 Proof,http://140proof.com,|Interest Graph|Advertising|,Advertising, 5 500 000 ,operating,USA,CA,SF Bay Area,San Francisco,2,11/01/2010,2010-01,2010-Q1,2010,01/07/2009,28/04/2011
/organization/140fire,140Fire,http://140fire.com,|Entertainment|Sports|Real Time|Social Media|Video|Advertising|,Entertainment, 500 000 ,operating,USA,CA,Los Angeles,Santa Monica,1,01/01/2010,2010-01,2010-Q1,2010,05/05/2010,05/05/2010
/organization/phoneuser-network,159.com,http://www.159.com,|Software|, Software , 6 204 822 ,operating,CHN,,CHN - Other,,2,,,,,01/02/2008,01/03/2011
/organization/15five,15Five,http://15five.com,|Software|, Software , 3 400 000 ,operating,USA,CA,SF Bay Area,San Francisco,3,01/05/2011,2011-05,2011-Q2,2011,01/01/2012,02/10/2014
/organization/15minutesnow,15MinutesNOW,http://15minutesnow.com,|Games|,Games, 200 000 ,operating,,,,,1,19/04/2011,2011-04,2011-Q2,2011,10/05/2011,10/05/2011
/organization/16-mile-solutions,16 Mile Solutions,,|Software|, Software , 199 957 ,operating,USA,WA,Seattle,Seattle,1,01/01/2006,2006-01,2006-Q1,2006,11/06/2009,11/06/2009
/organization/169-st,169 ST.,http://www.junebugreview.com,|Entertainment|Games|,Games, 50 000 ,closed,USA,FL,Orlando,Lake Mary,1,15/05/2009,2009-05,2009-Q2,2009,01/06/2009,01/06/2009
/organization/170-systems,170 Systems,http://www.170systems.com,|Software|, Software , 14 000 000 ,acquired,USA,MA,Boston,Bedford,1,01/01/1990,1990-01,1990-Q1,1990,16/04/2002,16/04/2002
/organization/17u-cn,17u.cn,http://www.17u.cn,|Travel|,Travel, 84 440 319 ,operating,CHN,,Shanghai,Suzhou,3,01/01/2004,2004-01,2004-Q1,2004,01/01/2008,17/02/2014
/organization/1871,"1,87E+03",http://www.1871.com,,, 2 500 000 ,operating,USA,IL,Chicago,Chicago,1,,,,,17/06/2014,17/06/2014
/organization/19pay,19pay,http://www.19pay.com.cn,|Finance|, Finance , 9 478 511 ,operating,CHN,,Beijing,Beijing,3,01/01/2005,2005-01,2005-Q1,2005,01/01/2006,01/07/2013
/organization/1bib,1bib,http://www.1bib.com,|Cars|Curated Web|,Curated Web, -   ,closed,CHN,,Guangzhou,Guangzhou,1,01/01/2006,2006-01,2006-Q1,2006,07/02/2008,07/02/2008
/organization/1c-company,1C Company,http://1c.ru/eng,|Video Games|Games|Software|, Software , 200 000 000 ,,RUS,,Moscow,Moscow,1,01/01/1991,1991-01,1991-Q1,1991,03/10/2011,03/10/2011
/organization/1calendar,1calendar,http://1calendar.com,|Advertising|Mobile|Internet|Education|,Education, 40 000 ,operating,DNK,,Copenhagen,Copenhagen,1,19/01/2009,2009-01,2009-Q1,2009,04/04/2008,04/04/2008
/organization/1cast,1Cast,http://www.1cast.com,|Lifestyle|Content|Video|News|,Lifestyle, -   ,closed,USA,WA,Seattle,Kirkland,1,01/06/2006,2006-06,2006-Q2,2006,12/08/2008,12/08/2008
/organization/1click,1CLICK,http://1click.io,|Chat|Mobile|, Chat , -   ,operating,IND,,Bangalore,Bangalore,1,01/11/2012,2012-11,2012-Q4,2012,26/01/2014,26/01/2014
/organization/1cloudstar-asia,1CloudStar,http://www.1CloudStar.com,|Digital Media|File Sharing|Content|Search|Cloud Computing|Enterprise Software|,File Sharing, -   ,operating,SGP,,Singapore,Singapore,1,01/01/2012,2012-01,2012-Q1,2012,01/08/2013,01/08/2013
/organization/1d4-pty,1d4 Pty,http://www.immortaloutdoors.com,,, 40 000 ,operating,NOR,,NOR - Other,,1,,,,,11/04/2012,11/04/2012
/organization/1daylater,1DayLater,http://1daylater.com,|Tracking|Curated Web|,Curated Web, 43 811 ,operating,,,,,2,26/08/2009,2009-08,2009-Q3,2009,01/05/2009,01/10/2009
/organization/1daymakeover,1DayMakeover,http://www.1daymakeover.com,|Shopping|Cosmetics|Personal Health|Lifestyle|Fashion|E-Commerce|, E-Commerce , 50 000 ,closed,USA,CA,"Orange County, California",Santa Ana,1,30/06/2008,2008-06,2008-Q2,2008,30/06/2008,30/06/2008
/organization/1docway,1DocWay,http://1docway.com,,, -   ,operating,USA,PA,Philadelphia,Philadelphia,1,01/02/2011,2011-02,2011-Q1,2011,10/08/2011,10/08/2011
/organization/1energy-systems,1Energy Systems,http://1energysystems.com,|Software|, Software , 1 450 000 ,operating,USA,WA,Seattle,Seattle,1,01/01/2010,2010-01,2010-Q1,2010,22/04/2013,22/04/2013
/organization/1eq,1EQ,http://www.getbabyscripts.com,|Mobile Health|Health and Wellness|,Mobile Health, 2 100 000 ,operating,,,,,3,08/03/2013,2013-03,2013-Q1,2013,01/07/2012,23/12/2013
/organization/1jiajie,1jiajie,http://www.1jiajie.com,|E-Commerce|, E-Commerce , 4 163 132 ,operating,CHN,,Beijing,Beijing,2,,,,,01/09/2013,16/09/2014
/organization/1lay,1Lay,http://1lay.com,|Mobile Security|Mobile Devices|Tablets|Mobile|Security|,Mobile Security, 170 000 ,operating,,,,,1,18/07/2013,2013-07,2013-Q3,2013,30/05/2014,30/05/2014
/organization/1life-healthcare,1Life Healthcare,http://www.1life.com,,, 30 000 000 ,operating,USA,CA,SF Bay Area,San Francisco,1,01/01/2002,2002-01,2002-Q1,2002,21/03/2013,21/03/2013
/organization/1mind,1Mind,http://1mind.com,|Social Media|, Social Media , 500 000 ,operating,USA,NH,"Manchester, New Hampshire",Hampton Falls,1,01/01/2011,2011-01,2011-Q1,2011,05/08/2013,05/08/2013
/organization/1o1media,1o1Media,http://www.1o1media.com,|Monetization|Content|Distribution|Film|Video|Marketplaces|Video on Demand|Photography|,Photography, -   ,operating,DEU,,Berlin,Berlin,1,01/01/2012,2012-01,2012-Q1,2012,01/10/2013,01/10/2013
/organization/1rebel,1Rebel,http://1rebelco.uk,|Fitness|, Fitness , 2 572 969 ,operating,,,,,1,,,,,01/09/2014,01/09/2014
/organization/1ring,1Ring,http://www.1ring.com,|Games|Contests|Television|Startups|Sales and Marketing|News|Music|Advertising|Mobile|Curated Web|,Sales and Marketing, -   ,operating,,,,,1,01/05/2009,2009-05,2009-Q2,2009,21/02/2011,21/02/2011
/organization/1rp-media,1RP Media,,,, -   ,operating,USA,CA,Los Angeles,Los Angeles,1,01/01/2011,2011-01,2011-Q1,2011,29/06/2012,29/06/2012
/organization/1sdk,1SDK,http://www.1sdk.com,|SaaS|Predictive Analytics|Monetization|Mobile|,Predictive Analytics, 156 000 ,operating,DEU,,Berlin,Berlin,2,25/01/2013,2013-01,2013-Q1,2013,05/08/2013,02/09/2013
/organization/1spire,1spire,http://bitmado.com,|Manufacturing|,Manufacturing, 30 000 ,operating,USA,TX,Houston,Houston,1,01/10/2011,2011-10,2011-Q4,2011,20/12/2011,20/12/2011
/organization/1st-choice-lawn-care,1st Choice Lawn Care,,,, -   ,operating,USA,LA,Shreveport,Bossier City,1,01/08/2012,2012-08,2012-Q3,2012,22/07/2012,22/07/2012
/organization/1st-merchant-funding,1st Merchant Funding,http://www.1stmerchantfunding.com/,|Financial Services|,Financial Services, 10 000 000 ,,USA,FL,Miami,Miami,1,01/01/2007,2007-01,2007-Q1,2007,07/05/2014,07/05/2014
/organization/1stdibs,1stdibs,http://www.1stdibs.com,|E-Commerce|, E-Commerce , 117 000 000 ,operating,USA,NY,New York City,New York,4,01/01/2001,2001-01,2001-Q1,2001,03/11/2011,24/01/2014
/organization/1stgig-com,1stGig.com,http://www.1stgig.com,|E-Commerce|, E-Commerce , 750 000 ,operating,USA,NY,"Albany, New York",Saratoga Springs,1,01/08/2009,2009-08,2009-Q3,2009,01/10/2012,01/10/2012
/organization/1world-online,1World Online,http://1worldonline.com,|Mobile|Analytics|Big Data|Enterprise Software|,Enterprise Software, 1 500 000 ,operating,USA,CA,SF Bay Area,San Jose,2,01/12/2011,2011-12,2011-Q4,2011,02/07/2013,01/12/2013
/organization/2-minutes,2 Minutes,http://www.2minutes.fr,|Games|,Games, 1 660 000 ,operating,FRA,,Paris,Paris,1,01/10/2000,2000-10,2000-Q4,2000,19/06/2008,19/06/2008
/organization/2-pro-media-group,2 Pro Media Group,http://www.2pro.hk,,, 41 250 ,operating,,,,,1,01/01/2011,2011-01,2011-Q1,2011,01/01/2014,01/01/2014
/organization/2-observe,2-Observe,http://www.2-observe.be/,,, 204 189 ,operating,BEL,,BEL - Other,Ferrières,1,01/01/2010,2010-01,2010-Q1,2010,25/06/2014,25/06/2014
/organization/20-20-gene-systems-inc,20/20 Gene Systems Inc.,http://2020gene.com,|Biotechnology|,Biotechnology, 150 000 ,operating,USA,MD,"Washington, D.C.",Rockville,1,01/05/2000,2000-05,2000-Q2,2000,25/09/2012,25/09/2012
/organization/2080-media,2080 Media,,|News|, News , 41 000 000 ,operating,USA,GA,Atlanta,Atlanta,5,01/01/2008,2008-01,2008-Q1,2008,05/08/2010,19/07/2013
/organization/20-20-mobile,20:20 Mobile,http://www.2020mobile.com,|Mobile|, Mobile , 29 750 000 ,operating,IRL,,IRL - Other,Cree,1,01/09/2006,2006-09,2006-Q3,2006,04/07/2008,04/07/2008
/organization/20lines,20lines,http://20lines.com,|Publishing|Education|Parenting|Curated Web|,Curated Web, 1 236 454 ,operating,ITA,,Roncade,Roncade,3,01/01/2012,2012-01,2012-Q1,2012,15/11/2012,01/06/2014
/organization/20x200,20x200,http://www.20x200.com,|Social Commerce|Art|E-Commerce|, Art , 2 800 000 ,operating,USA,NY,New York City,New York,2,01/09/2007,2007-09,2007-Q3,2007,01/10/2009,01/08/2010
/organization/21cake-food-co,21Cake Food Co.,http://www.21cake.com,|Manufacturing|Hospitality|,Manufacturing, 1 464 128 ,operating,CHN,,Beijing,Beijing,1,01/01/2004,2004-01,2004-Q1,2004,22/01/2010,22/01/2010
/organization/21e6,"2,10E+07",,,, 5 050 000 ,operating,USA,CA,SF Bay Area,San Francisco,1,01/01/2013,2013-01,2013-Q1,2013,17/11/2013,17/11/2013
/organization/21grams,21GRAMS,http://www.21grams.se,|Software|, Software , 2 580 000 ,operating,SWE,,Stockholm,Stockholm,1,,,,,03/04/2006,03/04/2006
/organization/21st-century-oncology,21st Century Oncology,http://21stcenturyoncology.com,|Health and Wellness|,Health and Wellness, 325 000 000 ,operating,USA,FL,Fort Myers,Fort Myers,1,,,,,26/09/2014,26/09/2014
/organization/21vianet,21viaNet,http://www.ch.21vianet.com,|Software|Web Hosting|, Software , 100 000 000 ,operating,CHN,,Beijing,Beijing,2,16/10/2009,2009-10,2009-Q4,2009,01/12/2012,01/10/2013
/organization/22nd-century-group,22nd Century Group,http://www.xxiicentury.com,|Biotechnology|,Biotechnology, 14 984 750 ,operating,USA,NY,NY - Other,Clarence,5,01/01/1998,1998-01,1998-Q1,1998,28/12/2010,18/09/2014
/organization/22seeds,22seeds,http://www.22seeds.com,|Web Tools|Android|iPhone|Web Development|Internet|Mobile|Sales and Marketing|Apps|Software|, Software , 250 000 ,operating,ISR,,Tel Aviv,Tel Aviv,1,01/01/2010,2010-01,2010-Q1,2010,15/10/2013,15/10/2013
/organization/2345-com,2345.com,http://www.2345.com,|Software|, Software , 1 610 541 ,operating,CHN,,Shanghai,Shanghai,2,01/09/2005,2005-09,2005-Q3,2005,01/05/2010,01/10/2010
/organization/2359-media,2359 Media,http://www.2359media.com,|Mobile|, Mobile , 615 000 ,operating,SGP,,Singapore,,1,01/02/2009,2009-02,2009-Q1,2009,11/01/2011,11/01/2011
/organization/23andme,23andMe,http://23andme.com,|Search|Biotechnology|,Biotechnology, 111 949 900 ,operating,USA,CA,SF Bay Area,Mountain View,6,01/04/2006,2006-04,2006-Q2,2006,01/05/2007,29/07/2014
/organization/23press,23press,http://www.23press.com,|Blogging Platforms|Software|,Blogging Platforms, 50 000 ,operating,CAN,ON,Toronto,Toronto,1,01/06/2011,2011-06,2011-Q2,2011,15/08/2011,15/08/2011
/organization/24-media-network,24 Media Network,http://nyheter24.se,|News|, News , 1 209 701 ,operating,SWE,,Stockholm,Stockholm,2,,,,,01/09/2008,01/01/2009
/organization/24-quan,24 Quan,,|Real Estate|,Real Estate, -   ,operating,,,,,2,,,,,01/05/2010,01/11/2011
/organization/24-7-card,24/7 Card,http://www.247card.com,|Finance|, Finance , 3 452 941 ,closed,USA,CA,Los Angeles,Los Angeles,3,,,,,25/10/2010,21/12/2011
/organization/247-techies,247 Techies,http://www.247techies.com,|Hardware + Software|, Hardware + Software , 600 000 ,operating,USA,NY,New York City,New York,1,,,,,05/11/2012,05/11/2012
/organization/248-solidstate,248 SolidState,,,, 500 000 ,operating,USA,CA,Los Angeles,Rolling Hills Estates,1,01/01/2007,2007-01,2007-Q1,2007,23/07/2009,23/07/2009
/organization/24fundraiser-com,24Fundraiser.com,http://www.24Fundraiser.com,|Non Profit|Social Fundraising|,Social Fundraising, 400 000 ,operating,USA,IL,Chicago,Willowbrook,1,01/08/2007,2007-08,2007-Q3,2007,01/05/2014,01/05/2014
/organization/24h00,24h00,http://www.boosket.com/,,, -   ,,FRA,,Paris,Paris,1,01/01/2006,2006-01,2006-Q1,2006,01/08/2006,01/08/2006
/organization/24m-technologies,24M Technologies,http://24-m.com,|Clean Technology|,Clean Technology, 16 000 000 ,operating,USA,MD,Salisbury,Cambridge,1,01/01/2010,2010-01,2010-Q1,2010,16/08/2010,16/08/2010
/organization/24pagebooks,24PageBooks,http://24pagebooks.com,|Software|, Software , 50 000 ,closed,USA,NY,"Rochester, New York",Rochester,1,01/01/2010,2010-01,2010-Q1,2010,24/05/2011,24/05/2011
/organization/24symbols,24Symbols,http://www.24symbols.com,|Textbooks|Software|, Software , -   ,operating,ESP,,Madrid,Madrid,1,07/08/2010,2010-08,2010-Q3,2010,20/10/2010,20/10/2010
/organization/24tidy,24tidy,http://24tidy.com,|Services|, Services , 1 856 561 ,operating,CHN,,CHN - Other,,2,,,,,27/12/2013,14/07/2014
/organization/247-learning-private,24x7 Learning,http://www.24x7learning.com,|Systems|Education|,Education, 4 000 000 ,operating,IND,,Bangalore,Bangalore,1,01/01/2001,2001-01,2001-Q1,2001,06/11/2007,06/11/2007
/organization/250ok,250ok,http://www.250ok.com,|Software|, Software , 200 000 ,,USA,IN,Indianapolis,Indianapolis,1,01/01/2012,2012-01,2012-Q1,2012,01/09/2012,01/09/2012
/organization/25eight,25eight,http://25eightsoftware.com,|DIY|Electronics|Software|, Software , 25 000 ,closed,,,,,1,,,,,26/01/2010,26/01/2010
/organization/265-network,265 Network,http://www.265.com,|Software|, Software , 2 000 000 ,operating,CHN,,Beijing,Beijing,1,01/01/2004,2004-01,2004-Q1,2004,01/12/2004,01/12/2004
/organization/27-bards,27 bards,http://27bards.com,|Tourism|Software|,Tourism, -   ,operating,USA,CA,SF Bay Area,Stanford,1,01/01/2011,2011-01,2011-Q1,2011,06/11/2012,06/11/2012
/organization/27-perry,27 Perry,http://www.27perry.com,|Finance|Marketplaces|E-Commerce|, E-Commerce , 118 000 ,closed,USA,CO,Denver,Boulder,1,25/07/2012,2012-07,2012-Q3,2012,17/05/2012,17/05/2012
/organization/280-north,280 North,http://280north.com,|Presentations|Software|, Software , 250 000 ,acquired,,,,,2,,,,,01/01/2008,01/03/2008
/organization/28msec,28msec,http://www.28msec.com,|Cloud Computing|Web Development|Databases|Software|, Software , 5 844 811 ,operating,USA,CA,SF Bay Area,Palo Alto,1,01/01/2008,2008-01,2008-Q1,2008,28/10/2013,28/10/2013
/organization/29west,29West,http://www.informatica.com/us/products/messaging/#fbid=UCXENH4s-Pb,,, -   ,acquired,,,,,1,,,,,15/03/2007,15/03/2007
/organization/2adpro-media-solutions,2AdPro Media Solutions,http://www.2adpro.com,|Outsourcing|Advertising|,Outsourcing, -   ,operating,USA,CA,Los Angeles,Woodland Hills,1,01/09/2006,2006-09,2006-Q3,2006,31/03/2008,31/03/2008
/organization/2c2p,2C2P,http://www.2c2p.com,|Mobile Commerce|E-Commerce|Payments|Software|, Software , 3 000 000 ,operating,THA,,Bangkok,Bangkok,3,01/01/2008,2008-01,2008-Q1,2008,01/01/2011,03/06/2014
/organization/2can,2can,http://2can.ru,|Credit Cards|Mobile|, Mobile , 7 000 000 ,operating,RUS,,Moscow,Moscow,2,12/04/2012,2012-04,2012-Q2,2012,01/09/2012,31/03/2014
/organization/2catalyze,2Catalyze,,|Software|, Software , 6 785 876 ,operating,CAN,ON,Toronto,Toronto,1,01/01/2008,2008-01,2008-Q1,2008,25/08/2010,25/08/2010
/organization/2checkout-com,2Checkout,http://www.2checkout.com,|E-Commerce|, E-Commerce , 60 000 000 ,operating,USA,OH,"Columbus, Ohio",Columbus,1,,,,,16/07/2014,16/07/2014
