name,work,area,hourly pay,daily pay,monthly pay
Adamas Pharmaceuticals,Farming,Aladakatti,60,420,10500
BetaVersity,Cleaner,Budingod,50,350,8750
Attila Technologies,Security,Aladakatti,50,350,8750
Avancert,Construction,Aladakatti,55,385,9625
Bills Khakis,Security,Bandakeri,55,385,9625
Affinity Air Service,Factory worker,Bandakeri,35,245,6125
24x7 Learning,Security,Aladakatti,55,385,9625
Borro,Farming,Aladakatti,50,350,8750
Albireo,Coolie,Budingod,50,350,8750
ABL Farms,Construction,Bandakeri,35,245,6125
Apptimize,Security,Budingod,45,315,7875
Beat Freak Music Group,Cleaner,Budingod,45,315,7875
Appointuit,Cleaner,Bandakeri,40,280,7000
Algotochip,Security,Budingod,50,350,8750
AquaGenesis,Cleaner,Bandakeri,55,385,9625
Anywhere to Go,Factory worker,Bandakeri,55,385,9625
Anacle Systems,Coolie,Budingod,45,315,7875
Affinium Pharmaceuticals,Factory worker,Bandakeri,40,280,7000
ACS Global,Construction,Budingod,50,350,8750
Analyze Re,Factory worker,Aladakatti,35,245,6125
Aegis Analytical Corp.,Cleaner,Budingod,45,315,7875
BeeFirst.in,Security,Budingod,50,350,8750
aaTag,Coolie,Aladakatti,40,280,7000
BOLETUS NETWORK,Factory worker,Budingod,45,315,7875
Angiodroid,Farming,Budingod,35,245,6125
Berkäna Wireless,Factory worker,Budingod,35,245,6125
Bare Tree Media,Farming,Bandakeri,40,280,7000
AquaBounty Technologies,Construction,Budingod,50,350,8750
Archipelago Learning,Coolie,Aladakatti,55,385,9625
BOND,Security,Bandakeri,40,280,7000
BioAmber,Cleaner,Aladakatti,40,280,7000
8020select,Security,Bandakeri,35,245,6125
AddThis,Cleaner,Budingod,55,385,9625
Aridhia Informatics,Construction,Bandakeri,50,350,8750
Applied Isotope Technologies,Construction,Budingod,35,245,6125
Axentra,Construction,Aladakatti,50,350,8750
bodaplanes,Cleaner,Budingod,40,280,7000
Basic6,Farming,Aladakatti,35,245,6125
Beezag,Construction,Aladakatti,55,385,9625
7fgame,Factory worker,Budingod,55,385,9625
Achelios Therapeutics,Cleaner,Aladakatti,50,350,8750
Aquarius Biotechnologies,Coolie,Budingod,35,245,6125
Adaptive Technologies,Coolie,Aladakatti,60,420,10500
bluebird bio,Construction,Budingod,50,350,8750
BeliefNetworks,Construction,Bandakeri,35,245,6125
Alset Wellen,Construction,Aladakatti,40,280,7000
AppIt Ventures,Farming,Bandakeri,60,420,10500
Backpack,Farming,Bandakeri,55,385,9625
Avegant,Cleaner,Budingod,55,385,9625
Babytree,Coolie,Aladakatti,40,280,7000
Beauty Works,Construction,Bandakeri,60,420,10500
AVG Technologies,Construction,Aladakatti,45,315,7875
Badge,Factory worker,Aladakatti,55,385,9625
BeeBillion,Cleaner,Aladakatti,60,420,10500
Aigou,Security,Budingod,45,315,7875
BridgeCrest Medical,Security,Bandakeri,35,245,6125
Allele Biotech,Construction,Bandakeri,50,350,8750
Betabrand,Cleaner,Budingod,60,420,10500
Acacia Interactive,Factory worker,Aladakatti,45,315,7875
App Annie,Factory worker,Aladakatti,45,315,7875
6Sense,Security,Budingod,55,385,9625
authorSTREAM.com,Security,Budingod,55,385,9625
Blackberry,Security,Bandakeri,45,315,7875
Abloomy,Cleaner,Aladakatti,45,315,7875
Adknowledge,Factory worker,Bandakeri,40,280,7000
BeHome247,Coolie,Aladakatti,55,385,9625
Artsicle,Security,Bandakeri,60,420,10500
Aktifmob Mobilicious Media Agency,Coolie,Aladakatti,40,280,7000
6Wunderkinder,Coolie,Bandakeri,35,245,6125
Blendagram,Security,Budingod,45,315,7875
Bourbon & Boots,Construction,Aladakatti,50,350,8750
Bolt,Coolie,Bandakeri,35,245,6125
Beyond Compliance,Construction,Bandakeri,55,385,9625
blinkbox,Construction,Bandakeri,60,420,10500
American Halal Company,Cleaner,Budingod,40,280,7000
3KeyIt,Farming,Bandakeri,45,315,7875
Beanup,Factory worker,Bandakeri,45,315,7875
AirClic,Farming,Bandakeri,60,420,10500
Aconex,Cleaner,Budingod,40,280,7000
Blurtt,Security,Bandakeri,60,420,10500
Atrica,Factory worker,Bandakeri,45,315,7875
AppTrigger,Construction,Bandakeri,50,350,8750
AudioPixels,Construction,Bandakeri,35,245,6125
39 Health,Farming,Aladakatti,55,385,9625
Advanced Medical Innovations,Cleaner,Budingod,45,315,7875
Biotz,Coolie,Budingod,40,280,7000
Big Think,Cleaner,Bandakeri,50,350,8750
AnaCatum Design,Coolie,Bandakeri,45,315,7875
Boardwalktech,Factory worker,Budingod,60,420,10500
ActX,Security,Bandakeri,45,315,7875
Bohemian Guitars,Cleaner,Bandakeri,55,385,9625
Bravoavia,Security,Aladakatti,40,280,7000
Bitstrips,Security,Bandakeri,45,315,7875
ABC Live,Farming,Bandakeri,40,280,7000
appbackr,Farming,Budingod,45,315,7875
3D Eye Solutions,Farming,Aladakatti,60,420,10500
Auctomatic,Farming,Bandakeri,35,245,6125
Aperia Technologies,Construction,Aladakatti,60,420,10500
Appuri,Farming,Bandakeri,40,280,7000
AskYou,Factory worker,Aladakatti,55,385,9625
1stGig.com,Coolie,Budingod,55,385,9625
Akimbo,Coolie,Aladakatti,55,385,9625
baimos technologies,Factory worker,Budingod,55,385,9625
Bella Pictures,Cleaner,Budingod,50,350,8750
Bionic Panda Games,Security,Budingod,55,385,9625
BluFrog Path Lab Solutions,Factory worker,Bandakeri,40,280,7000
Big River,Farming,Budingod,35,245,6125
Atzip,Factory worker,Bandakeri,55,385,9625
Bookatable (Livebookings),Cleaner,Aladakatti,50,350,8750
Accedo,Factory worker,Bandakeri,60,420,10500
Avinger,Factory worker,Bandakeri,45,315,7875
Appside,Security,Budingod,45,315,7875
bizsol,Coolie,Aladakatti,45,315,7875
Bioquimica,Cleaner,Aladakatti,50,350,8750
Amiare,Farming,Aladakatti,55,385,9625
Azaleos,Cleaner,Budingod,40,280,7000
Accolo,Security,Bandakeri,45,315,7875
Blendspace,Security,Bandakeri,50,350,8750
Belkin International,Construction,Bandakeri,45,315,7875
AVIA,Coolie,Bandakeri,60,420,10500
Boonty,Farming,Aladakatti,55,385,9625
Arkansas Science & Technology Authority,Coolie,Aladakatti,55,385,9625
Benesight,Factory worker,Bandakeri,50,350,8750
Annelutfen.com,Factory worker,Aladakatti,35,245,6125
Arena Pharmaceuticals,Coolie,Bandakeri,55,385,9625
Bootstrap Digital and Tech Ventures Inc.,Farming,Budingod,55,385,9625
